,VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,improvement_surcharge,Total_amount,Payment_type,Trip_type,p_lat,p_long,Pickup_longitude,Pickup_latitude,inside_zip
2936,2,1/1/2016 0:47,1/1/2016 1:22,N,1,-74.00035858,40.73308182,5,6.03,25,0.5,0.5,2,0,0.3,28.3,1,1,40.69712067,-73.93530273,1002190.085,193262.9374,102
2937,2,1/1/2016 0:40,1/1/2016 1:17,N,1,-73.99285889,40.74816132,2,5.62,25.5,0.5,0.5,0,0,0.3,26.8,2,1,40.78681946,-73.94197083,1000319.422,225941.7603,54
2938,2,1/1/2016 0:57,1/1/2016 1:21,N,1,-73.97725677,40.75717545,1,5.91,22,0.5,0.5,0,0,0.3,23.3,2,1,40.71848679,-73.96170044,994866.7887,201042.9539,261
2939,2,1/1/2016 0:57,1/1/2016 1:21,N,1,-73.81747437,40.75165176,1,12.14,34.5,0.5,0.5,7.16,0,0.3,42.96,1,1,40.69664383,-73.99143982,986623.6935,193082.7024,109
2940,2,1/1/2016 0:57,1/1/2016 1:21,N,1,-73.92139435,40.69736862,1,4.48,18,0.5,0.5,3.86,0,0.3,23.16,1,1,40.72220993,-73.94996643,998118.7269,202401.0496,92
2941,2,1/1/2016 0:58,1/1/2016 1:22,N,1,-74.0334549,40.61871719,1,11.68,34.5,0.5,0.5,0,0,0.3,35.8,2,1,40.71213913,-73.94078064,1000667.402,198733.5378,201
2942,2,1/1/2016 0:58,1/1/2016 1:21,N,1,-73.99902344,40.68501663,1,3.73,17,0.5,0.5,3,0,0.3,21.3,1,1,40.67747879,-73.94520569,999448.5436,186104.9577,184
2943,2,1/1/2016 0:57,1/1/2016 1:22,N,1,-73.97812653,40.730896,1,5.41,20.5,0.5,0.5,4.36,0,0.3,26.16,1,1,40.76225662,-73.9258728,1004784.854,216996.0615,73
2944,2,1/1/2016 0:35,1/1/2016 1:22,N,1,-73.95206451,40.72784805,5,7.31,24,0.5,0.5,6.32,0,0.3,31.62,1,1,40.76558304,-73.91368103,1008161.046,218211.077,72
2945,2,1/1/2016 0:56,1/1/2016 1:21,N,1,-73.92313385,40.7014389,1,3.46,17,0.5,0.5,4.58,0,0.3,22.88,1,1,40.71865082,-73.96133423,994968.2774,201102.7603,261
2946,2,1/1/2016 0:06,1/1/2016 0:22,N,1,-73.92285919,40.74386978,1,2.75,12.5,0.5,0.5,2.76,0,0.3,16.56,1,1,40.77433777,-73.90808868,1009706.824,221402.2908,59
2947,2,1/1/2016 0:58,1/1/2016 1:21,N,1,-73.90565491,40.76786423,1,5.16,19,0.5,0.5,0,0,0.3,20.3,2,1,40.75589371,-73.91244507,1008506.946,214681.2776,75
2948,2,1/1/2016 0:59,1/1/2016 1:21,N,1,-74.00998688,40.71414948,1,3.65,17.5,0.5,0.5,0,0,0.3,18.8,2,1,40.67647552,-73.98041534,989682.3657,185735.293,117
2949,2,1/1/2016 0:57,1/1/2016 1:22,N,1,-73.92236328,40.7673111,1,5.63,21,0.5,0.5,4.46,0,0.3,26.76,1,1,40.70834351,-73.9573288,996080.4254,197348.0094,201
2950,2,1/1/2016 0:41,1/1/2016 1:22,N,1,-73.94534302,40.70858765,1,13.5,43,0.5,0.5,0,0,0.3,44.3,2,1,40.81846237,-73.93772888,1001485.904,237471.1889,42
2951,2,1/1/2016 0:58,1/1/2016 1:22,N,1,-73.89450836,40.74250031,5,5.92,21.5,0.5,0.5,0,0,0.3,22.8,1,1,40.78428268,-73.94703674,998917.1287,225016.6384,54
2952,2,1/1/2016 0:55,1/1/2016 1:22,N,1,-73.92255402,40.68203735,1,6.81,24.5,0.5,0.5,0,0,0.3,25.8,2,1,40.68043137,-73.99684906,985123.9517,187175.9281,119
2953,2,1/1/2016 0:59,1/1/2016 1:14,N,1,-73.9278183,40.75482941,1,2.02,10.5,0.5,0.5,0,0,0.3,11.8,2,1,40.77269363,-73.90625,1010216.728,220803.8176,59
2954,2,1/1/2016 0:53,1/1/2016 1:22,N,1,-73.95095062,40.77458572,1,8.69,29.5,0.5,0.5,6.16,0,0.3,36.96,1,1,40.68672943,-73.9546051,996839.6397,189473.7422,184
2955,2,1/1/2016 0:54,1/1/2016 1:22,N,5,-74.00923157,40.64964294,1,6.55,24,0,0,0,0,0,24,2,2,40.67116547,-73.9392395,1001105.007,183805.9254,2
2956,2,1/1/2016 0:48,1/1/2016 1:22,N,1,-73.97798157,40.73669815,1,8.54,31,0.5,0.5,4,0,0.3,36.3,1,1,40.83016586,-73.94778442,998700.1087,241733.3773,37
2957,2,1/1/2016 0:50,1/1/2016 1:21,N,1,-73.9024353,40.62717056,1,5.52,23,0.5,0.5,0,0,0.3,24.3,2,1,40.69193649,-73.92212677,1005845.362,191377.1641,180
2958,2,1/1/2016 0:58,1/1/2016 1:20,N,1,-74.00835419,40.73541641,1,7.02,23,0.5,0.5,0,0,0.3,24.3,2,1,40.66099167,-73.9865799,987973.3151,180093.7634,123
2959,2,1/1/2016 0:56,1/1/2016 1:18,N,1,-74.01116943,40.7139473,3,4.3,18,0.5,0.5,0,0,0.3,19.3,2,1,40.67683029,-73.98014832,989756.4045,185864.5614,117
2960,2,1/1/2016 0:51,1/1/2016 1:23,N,1,-73.94980621,40.7220726,1,8.67,29.5,0.5,0.5,0,0,0.3,30.8,1,1,40.68332672,-73.96685028,993444.0802,188232.5137,118
